1,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
2,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
3,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
4,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
5,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
6,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
7,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
8,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
9,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
10,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
11,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
12,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
13,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
14,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
15,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
16,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
17,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
18,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
19,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
20,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
21,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
22,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
23,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
24,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
25,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
26,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
27,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
28,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
29,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
30,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
31,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
32,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
33,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
34,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
35,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
36,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
37,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
38,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
39,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
40,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
41,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
42,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
43,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
44,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
45,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
46,2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
47,2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
48,2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
49,2021-12-28T06:55:24, Петров Петр, 33-365-21-93, Кто-то оборвал мне телефонный кабель
50,2021-12-28T06:55:24, Петров Петр, (33)365-21-93, Кто-то оборвал мне телефонный кабель
